ID;Véhicule;Marque;Modèle;Kilométrage;Différence;"Date Relevé";"Heure Relevé";Méthode;"Enregistré par";Notes;"Créé le (Système)";"Mis à jour le (Système)"
;"Véhicule Inconnu";N/A;N/A;;-244800;N/A;N/A;Automatique;Système;;N/A;N/A
;"Véhicule Inconnu";N/A;N/A;;-210000;N/A;N/A;Automatique;Système;;N/A;N/A
;"Véhicule Inconnu";N/A;N/A;;Initial;N/A;N/A;Automatique;Système;;N/A;N/A
;"Véhicule Inconnu";N/A;N/A;;-209800;N/A;N/A;Automatique;Système;;N/A;N/A
;"Véhicule Inconnu";N/A;N/A;;Initial;N/A;N/A;Automatique;Système;;N/A;N/A
;"Véhicule Inconnu";N/A;N/A;;-214500;N/A;N/A;Automatique;Système;;N/A;N/A
;"Véhicule Inconnu";N/A;N/A;;Initial;N/A;N/A;Automatique;Système;;N/A;N/A
;"Véhicule Inconnu";N/A;N/A;;-123500;N/A;N/A;Automatique;Système;;N/A;N/A
;"Véhicule Inconnu";N/A;N/A;;-209500;N/A;N/A;Automatique;Système;;N/A;N/A
;"Véhicule Inconnu";N/A;N/A;;-122800;N/A;N/A;Automatique;Système;;N/A;N/A
;"Véhicule Inconnu";N/A;N/A;;Initial;N/A;N/A;Automatique;Système;;N/A;N/A
;"Véhicule Inconnu";N/A;N/A;;Initial;N/A;N/A;Automatique;Système;;N/A;N/A
;"Véhicule Inconnu";N/A;N/A;;Initial;N/A;N/A;Automatique;Système;;N/A;N/A
;"Véhicule Inconnu";N/A;N/A;;Initial;N/A;N/A;Automatique;Système;;N/A;N/A
;"Véhicule Inconnu";N/A;N/A;;-294500;N/A;N/A;Automatique;Système;;N/A;N/A
;"Véhicule Inconnu";N/A;N/A;;-294600;N/A;N/A;Automatique;Système;;N/A;N/A
;"Véhicule Inconnu";N/A;N/A;;-28500;N/A;N/A;Automatique;Système;;N/A;N/A
;"Véhicule Inconnu";N/A;N/A;;Initial;N/A;N/A;Automatique;Système;;N/A;N/A
;"Véhicule Inconnu";N/A;N/A;;-209300;N/A;N/A;Automatique;Système;;N/A;N/A
;"Véhicule Inconnu";N/A;N/A;;-209200;N/A;N/A;Automatique;Système;;N/A;N/A
;"Véhicule Inconnu";N/A;N/A;;Initial;N/A;N/A;Automatique;Système;;N/A;N/A
;"Véhicule Inconnu";N/A;N/A;;-29000;N/A;N/A;Automatique;Système;;N/A;N/A
;"Véhicule Inconnu";N/A;N/A;;Initial;N/A;N/A;Automatique;Système;;N/A;N/A
;"Véhicule Inconnu";N/A;N/A;;-244700;N/A;N/A;Automatique;Système;;N/A;N/A
;"Véhicule Inconnu";N/A;N/A;;-244500;N/A;N/A;Automatique;Système;;N/A;N/A
;"Véhicule Inconnu";N/A;N/A;;-70000;N/A;N/A;Automatique;Système;;N/A;N/A
;"Véhicule Inconnu";N/A;N/A;;Initial;N/A;N/A;Automatique;Système;;N/A;N/A
;"Véhicule Inconnu";N/A;N/A;;Initial;N/A;N/A;Automatique;Système;;N/A;N/A
;"Véhicule Inconnu";N/A;N/A;;-244444;N/A;N/A;Automatique;Système;;N/A;N/A
;"Véhicule Inconnu";N/A;N/A;;Initial;N/A;N/A;Automatique;Système;;N/A;N/A
;"Véhicule Inconnu";N/A;N/A;;Initial;N/A;N/A;Automatique;Système;;N/A;N/A
;"Véhicule Inconnu";N/A;N/A;;Initial;N/A;N/A;Automatique;Système;;N/A;N/A
;"Véhicule Inconnu";N/A;N/A;;-123408;N/A;N/A;Automatique;Système;;N/A;N/A
;"Véhicule Inconnu";N/A;N/A;;-120438;N/A;N/A;Automatique;Système;;N/A;N/A
;"Véhicule Inconnu";N/A;N/A;;Initial;N/A;N/A;Automatique;Système;;N/A;N/A
;"Véhicule Inconnu";N/A;N/A;;Initial;N/A;N/A;Automatique;Système;;N/A;N/A
